2025-11-09 22:32:30.972 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:32:34.759 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:32:43.692 | INFO     | core.face_detection:add_known_face:206 - 新的人脸已添加: 程嘉骏
2025-11-09 22:32:52.147 | INFO     | core.face_detection:add_known_face:206 - 新的人脸已添加: 程嘉骏
2025-11-09 22:33:00.803 | INFO     | core.face_detection:add_known_face:206 - 新的人脸已添加: 程嘉骏
2025-11-09 22:34:47.128 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏.jpg
2025-11-09 22:34:47.128 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏1.jpg
2025-11-09 22:34:47.128 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:34:50.608 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:34:52.523 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:34:53.203 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏.jpg
2025-11-09 22:34:53.203 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏1.jpg
2025-11-09 22:34:53.204 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:34:54.347 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:34:54.357 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:35:46.697 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:35:46.699 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:35:46.715 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:35:46.715 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏.jpg
2025-11-09 22:35:46.715 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏1.jpg
2025-11-09 22:35:46.715 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:35:46.722 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:35:46.724 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:35:46.724 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:35:46.783 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:35:46.784 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:35:46.880 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:35:57.186 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:35:59.063 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:36:01.161 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:36:03.309 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏1.jpg
2025-11-09 22:36:03.309 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:36:05.780 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:36:07.324 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:36:09.325 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:36:38.088 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:36:38.088 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:36:38.098 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:36:43.126 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:36:43.128 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:36:43.145 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:36:43.146 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏.jpg
2025-11-09 22:36:43.146 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:36:43.158 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:36:43.159 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:36:43.159 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:36:43.216 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:36:43.216 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:36:43.300 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:36:56.404 | ERROR    | ui.face_manager:on_face_selected:137 - 加载人脸图像错误: 无法读取图像
2025-11-09 22:37:06.796 | WARNING  | core.face_detection:load_known_faces:82 - 无法读取图片: data\known_faces\程嘉骏.jpg
2025-11-09 22:37:06.796 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:37:27.540 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:37:27.540 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:37:27.549 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:37:32.253 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:37:32.254 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:37:32.270 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:37:32.456 | INFO     | core.face_detection:load_known_faces:98 - 已加载人脸: cjj
2025-11-09 22:37:32.456 | INFO     | core.face_detection:load_known_faces:103 - 共加载 1 张已知人脸
2025-11-09 22:37:32.464 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:37:32.466 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:37:32.466 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:37:32.529 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:37:32.529 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:37:32.642 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:37:32.880 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223732_cam0_cjj.jpg
2025-11-09 22:37:36.335 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：cjj 在 Camera 0 被检测到，置信度 0.69
2025-11-09 22:37:36.498 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223736_cam0_cjj.jpg
2025-11-09 22:37:37.448 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：cjj 在 Camera 0 被检测到，置信度 0.63
2025-11-09 22:37:38.239 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223738_cam0_cjj.jpg
2025-11-09 22:37:39.216 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：cjj 在 Camera 0 被检测到，置信度 0.62
2025-11-09 22:37:40.544 | INFO     | core.alert_system:_capture_screenshot:141 - 截图已保存: data\screenshots\20251109_223740_cam0_cjj.jpg
2025-11-09 22:37:41.520 | INFO     | core.alert_system:trigger_alert:115 - 警报触发：cjj 在 Camera 0 被检测到，置信度 0.64
